19/05/2012,08:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,08:03:54 3274044 Seconds."
19/05/2012,07:03:53,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,07:03:53 3270453 Seconds."
19/05/2012,06:03:53,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,06:03:53 3266862 Seconds."
19/05/2012,05:09:38,RM Event Master,Error,None,15,N/A,AVC-SR-001,"Could not contact the web service, terminating check process."
19/05/2012,05:03:53,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,05:03:53 3263271 Seconds."
19/05/2012,04:03:53,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,04:03:53 3259680 Seconds."
19/05/2012,03:03:53,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,03:03:53 3256089 Seconds."
19/05/2012,02:03:53,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,02:03:53 3252498 Seconds."
19/05/2012,01:03:53,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,01:03:53 3248907 Seconds."
19/05/2012,00:03:53,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,00:03:53 3245317 Seconds."
19/05/2012,00:02:29,Backup Exec,Error,None,57860,N/A,AVC-SR-001,"An error occurred while attempting to log in to the following server: ""AVC-SR-001"".
 SQL error number: ""0011"".
 SQL error message: ""[DBNETLIB][ConnectionOpen (Connect()).]SQL Server does not exist or access denied.
"". 

 For more information, click the following link: 
http://eventlookup.veritas.com/eventlookup/EventLookup.jhtml"
19/05/2012,00:02:22,Backup Exec,Error,None,57860,N/A,AVC-SR-001,"An error occurred while attempting to log in to the following server: ""AVC-SR-001"".
 SQL error number: ""0011"".
 SQL error message: ""[DBNETLIB][ConnectionOpen (Connect()).]SQL Server does not exist or access denied.
"". 

 For more information, click the following link: 
http://eventlookup.veritas.com/eventlookup/EventLookup.jhtml"
18/05/2012,23:03:52,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-18,23:03:52 3241725 Seconds."
18/05/2012,23:02:01,Backup Exec,Error,None,57860,N/A,AVC-SR-001,"An error occurred while attempting to log in to the following server: ""AVC-SR-001"".
 SQL error number: ""0011"".
 SQL error message: ""[DBNETLIB][ConnectionOpen (Connect()).]SQL Server does not exist or access denied.
"". 

 For more information, click the following link: 
http://eventlookup.veritas.com/eventlookup/EventLookup.jhtml"
18/05/2012,23:01:54,Backup Exec,Error,None,57860,N/A,AVC-SR-001,"An error occurred while attempting to log in to the following server: ""AVC-SR-001"".
 SQL error number: ""0011"".
 SQL error message: ""[DBNETLIB][ConnectionOpen (Connect()).]SQL Server does not exist or access denied.
"". 

 For more information, click the following link: 
http://eventlookup.veritas.com/eventlookup/EventLookup.jhtml"
18/05/2012,22:03:52,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-18,22:03:52 3238134 Seconds."
18/05/2012,21:03:52,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-18,21:03:52 3234544 Seconds."
18/05/2012,20:36:40,SceCli,Information,None,1704,N/A,AVC-SR-001,Security policy in the Group policy objects has been applied successfully.
18/05/2012,20:03:52,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-18,20:03:52 3230953 Seconds."
18/05/2012,19:03:52,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-18,19:03:52 3227362 Seconds."
18/05/2012,18:03:52,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-18,18:03:52 3223771 Seconds."
18/05/2012,17:03:52,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-18,17:03:52 3220180 Seconds."
18/05/2012,16:38:07,CertSvc,Warning,None,77,N/A,AVC-SR-001,"The ""Windows default"" Policy Module logged the following warning: The Active Directory connection to AVC-SR-001 has been reestablished to AVC-SR-001.
"
18/05/2012,16:03:52,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-18,16:03:52 3216589 Seconds."
18/05/2012,15:03:52,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-18,15:03:52 3212999 Seconds."
18/05/2012,14:11:39,RM User Manager,Error,None,569,N/A,AVC-SR-001,"The description for Event ID ( 569 ) in Source ( RM User Manager ) cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer. You may be able to use the /AUXSOURCE= flag to retrieve this description; see Help and Support for details. The following information is part of the event: The callee (server [not server application]) is not available and disappeared; all connections are invalid. The call may have executed., Printing, 792."
